,,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed
difference,,-5,-4,-3,-2,-1,0,1,2,3,4,5,-5,-4,-3,-2,-1,0,1,2,3,4,5
model,problem,,,,,,,,,,,,,,,,,,,,,,
claude-2,bspResults,0.685,0.6622222222222219,0.6938775510204077,0.7711538461538457,0.7703703703703699,0.6709090909090905,0.5799999999999993,0.6745454545454539,0.7363636363636358,0.7290909090909085,0.6709090909090905,0.06,0.0333333333333333,0.057142857142857,0.07500000000000001,0.0444444444444444,0.06,0.04,0.04,0.02,0.05,0.05
claude-2,mfpResults,0.04,0.111111111111111,0.17142857142857132,0.1692307692307689,0.1703703703703701,0.19090909090909058,0.1345454545454542,0.21090909090909069,0.1145454545454542,0.1090909090909089,0.1272727272727269,0.22,0.2666666666666664,0.1142857142857142,0.125,0.1222222222222221,0.11,0.2299999999999999,0.24,0.24,0.28,0.3699999999999999
claude-instant-1.2,bspResults,0.7349999999999999,0.6666666666666663,0.7693877551020405,0.7096153846153842,0.5888888888888884,0.6509090909090903,0.6963636363636359,0.5872727272727268,0.5981818181818175,0.5799999999999994,0.6018181818181814,0.0,0.0,0.0142857142857142,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0
claude-instant-1.2,mfpResults,0.09,0.0333333333333332,0.1142857142857141,0.1019230769230766,0.0222222222222222,0.1345454545454542,0.0527272727272725,0.0454545454545453,0.038181818181818,0.021818181818181702,0.0199999999999999,0.1,0.0999999999999997,0.1714285714285711,0.0625,0.111111111111111,0.09,0.07,0.07,0.11,0.16999999999999998,0.13
gpt-3.5-turbo,bspResults,0.9199999999999999,0.902222222222222,0.8306122448979589,0.9096153846153842,0.896296296296296,0.8454545454545449,0.8781818181818177,0.8290909090909087,0.7999999999999994,0.8690909090909086,0.8436363636363632,0.02,0.0,0.0571428571428569,0.025,0.0222222222222222,0.02,0.02,0.04,0.05,0.030000000000000002,0.04
gpt-3.5-turbo,mfpResults,0.195,0.0844444444444444,0.0857142857142856,0.1499999999999999,0.0648148148148147,0.0854545454545453,0.0509090909090909,0.0472727272727272,0.0418181818181817,0.0072727272727272,0.0,0.56,0.5666666666666663,0.6857142857142854,0.5625,0.5888888888888888,0.63,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.8,0.9
gpt-4-1106-preview,bspResults,0.9774999999999999,0.9999999999999998,0.981632653061224,0.9999999999999996,0.9870370370370365,0.9836363636363631,0.9909090909090904,0.9999999999999996,0.9927272727272722,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4-1106-preview,mfpResults,0.35750000000000004,0.3733333333333332,0.3612244897959182,0.3576923076923073,0.3333333333333329,0.3199999999999996,0.3272727272727268,0.3163636363636359,0.334545454545454,0.3072727272727268,0.3254545454545451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
