,Claude-2,Claude-Instant-1.2,Gpt-3.5-Turbo,Gpt-4-1106-Preview,Mistral,Mpt,Phi,Vicuna,Yi
Zeroshot,0.445,0.442,0.942,1.000,0.149,0.000,0.000,0.113,0.620
Fewshot (-5),0.685,0.735,0.920,0.977,0.043,0.165,0.155,0.085,0.065
Fewshot (-4),0.662,0.667,0.902,1.000,0.129,0.156,0.118,0.084,0.093
Fewshot (-3),0.694,0.769,0.831,0.982,0.153,0.131,0.084,0.067,0.143
Fewshot (-2),0.771,0.710,0.910,1.000,0.094,0.117,0.087,0.037,0.102
Fewshot (-1),0.770,0.589,0.896,0.987,0.085,0.157,0.057,0.087,0.048
Fewshot (0),0.671,0.651,0.845,0.984,0.413,0.258,0.098,0.089,0.598
Fewshot (1),0.580,0.696,0.878,0.991,0.385,0.207,0.109,0.055,0.593
Fewshot (2),0.675,0.587,0.829,1.000,0.296,0.175,0.056,0.067,0.647
Fewshot (3),0.736,0.598,0.800,0.993,0.318,0.144,0.098,0.093,0.662
Fewshot (4),0.729,0.580,0.869,1.000,0.287,0.269,0.105,0.053,0.638
Fewshot (5),0.671,0.602,0.844,1.000,0.356,0.202,0.064,0.055,0.167
