,Claude-2,Claude-Instant-1.2,Gpt-3.5-Turbo,Gpt-4-1106-Preview,Mistral,Mpt,Phi,Vicuna,Yi
Zeroshot,0.009,0.000,0.002,0.284,0.225,0.304,0.307,0.307,0.307
Fewshot (-5),0.040,0.090,0.195,0.358,0.135,0.158,0.163,0.092,0.092
Fewshot (-4),0.111,0.033,0.084,0.373,0.193,0.193,0.209,0.133,0.144
Fewshot (-3),0.171,0.114,0.086,0.361,0.190,0.212,0.241,0.069,0.212
Fewshot (-2),0.169,0.102,0.150,0.358,0.244,0.275,0.277,0.104,0.265
Fewshot (-1),0.170,0.022,0.065,0.333,0.207,0.235,0.257,0.143,0.217
Fewshot (0),0.191,0.135,0.085,0.320,0.298,0.298,0.311,0.196,0.262
Fewshot (1),0.135,0.053,0.051,0.327,0.282,0.295,0.307,0.235,0.276
Fewshot (2),0.211,0.045,0.047,0.316,0.269,0.278,0.307,0.256,0.305
Fewshot (3),0.115,0.038,0.042,0.335,0.284,0.258,0.307,0.287,0.271
Fewshot (4),0.109,0.022,0.007,0.307,0.309,0.302,0.307,0.293,0.282
Fewshot (5),0.127,0.020,0.000,0.325,0.289,0.307,0.307,0.293,0.295
