,Claude-2,Claude-Instant-1.2,Gpt-3.5-Turbo,Gpt-4-1106-Preview,Mistral,Mpt,Phi,Vicuna,Yi
Zeroshot,0.260,0.400,0.000,0.000,0.070,1.000,1.000,0.480,0.330
Fewshot (-5),0.060,0.000,0.020,0.000,0.480,0.160,0.860,0.640,0.940
Fewshot (-4),0.033,0.000,0.000,0.000,0.617,0.117,0.900,0.633,0.917
Fewshot (-3),0.057,0.014,0.057,0.000,0.471,0.043,0.914,0.600,0.871
Fewshot (-2),0.075,0.000,0.025,0.000,0.537,0.062,0.888,0.613,0.887
Fewshot (-1),0.044,0.000,0.022,0.000,0.622,0.078,0.933,0.589,0.911
Fewshot (0),0.060,0.000,0.020,0.000,0.380,0.040,0.880,0.540,0.300
Fewshot (1),0.040,0.010,0.020,0.000,0.420,0.040,0.830,0.520,0.290
Fewshot (2),0.040,0.000,0.040,0.000,0.440,0.030,0.910,0.640,0.290
Fewshot (3),0.020,0.010,0.050,0.000,0.460,0.030,0.830,0.650,0.280
Fewshot (4),0.050,0.000,0.030,0.000,0.530,0.080,0.850,0.630,0.280
Fewshot (5),0.050,0.000,0.040,0.000,0.440,0.050,0.900,0.650,0.680
