,Claude-2,Claude-Instant-1.2,Gpt-3.5-Turbo,Gpt-4-1106-Preview,Mistral,Mpt,Phi,Vicuna,Yi
Zeroshot,0.000,0.000,0.000,0.060,0.800,0.710,0.750,0.750,0.750
Fewshot (-5),0.220,0.100,0.560,0.000,0.800,0.240,0.860,0.440,0.920
Fewshot (-4),0.267,0.100,0.567,0.000,0.733,0.167,0.817,0.350,0.883
Fewshot (-3),0.114,0.171,0.686,0.000,0.614,0.229,0.800,0.200,0.829
Fewshot (-2),0.125,0.062,0.562,0.000,0.613,0.163,0.775,0.200,0.787
Fewshot (-1),0.122,0.111,0.589,0.000,0.656,0.133,0.778,0.267,0.833
Fewshot (0),0.110,0.090,0.630,0.000,0.640,0.130,0.740,0.300,0.780
Fewshot (1),0.230,0.070,0.700,0.000,0.670,0.100,0.750,0.310,0.790
Fewshot (2),0.240,0.070,0.700,0.000,0.710,0.110,0.750,0.370,0.750
Fewshot (3),0.240,0.110,0.700,0.000,0.750,0.080,0.750,0.390,0.800
Fewshot (4),0.280,0.170,0.800,0.000,0.660,0.160,0.750,0.470,0.790
Fewshot (5),0.370,0.130,0.900,0.000,0.680,0.160,0.750,0.470,0.770
